# refreshed_at	name	nitems	stacked	spent	streak
2026-05-25T16:06:22.474Z	k00b	47	58686	94940	1093
2026-05-25T16:06:22.474Z	Scoresby	80	41317	90340	357
2026-05-25T16:06:22.474Z	grayruby	183	27864	27967	915
2026-05-25T16:06:22.474Z	BlokchainB	218	24320	50417	951
2026-05-25T16:06:22.474Z	0xbitcoiner	114	21403	7565	1
2026-05-25T16:06:22.474Z	SimpleStacker	106	10891	6013	1
2026-05-25T16:06:22.474Z	billytheked	22	8553	4297	23
2026-05-25T16:06:22.474Z	gsc360	90	6870	3058	10
2026-05-25T16:06:22.474Z	Acrylater	32	6791	660	0
2026-05-25T16:06:22.474Z	OneOneSeven	7	6559	4257	50
2026-05-25T16:06:22.474Z	Aardvark	0	5695	50000	0
2026-05-25T16:06:22.474Z	Cje95	38	5282	1377	0
2026-05-25T16:06:22.474Z	ek	31	5038	3149	0
2026-05-25T16:06:22.474Z	WeAreAllSatoshi	69	4588	9275	101
2026-05-25T16:06:22.474Z	rare	13	4505	831	0
2026-05-25T16:06:22.474Z	028559d218	25	4119	3761	1
2026-05-25T16:06:22.474Z	chungkingexpress	3	4077	439	0
2026-05-25T16:06:22.474Z	StillStackinAfterAllTheseYears	13	4063	997	7
2026-05-25T16:06:22.474Z	davidw	0	4038	50000	0
2026-05-25T16:06:22.474Z	suraz	26	4000	938	34
2026-05-25T16:06:22.474Z	satwize	16	3745	3005	5
2026-05-25T16:06:22.474Z	japan_admin	13	3629	50421	0
2026-05-25T16:06:22.474Z	TNStacker	4	3619	3812	0
2026-05-25T16:06:22.474Z	Bell_curve	38	3449	2878	2
2026-05-25T16:06:22.474Z	schmidty	4	3382	591	0
2026-05-25T16:06:22.474Z	plebpoet	20	3084	973	3
2026-05-25T16:06:22.474Z	justin_shocknet	26	2982	1435	0
2026-05-25T16:06:22.474Z	realBitcoinDog	9	2677	399	0
2026-05-25T16:06:22.474Z	Car	19	2671	1980	3
2026-05-25T16:06:22.474Z	Machiavelli23	9	2536	1059	18
2026-05-25T16:06:22.474Z	OT	22	2470	3194	121
2026-05-25T16:06:22.474Z	leo	2	2414	120	0
2026-05-25T16:06:22.474Z	NEEDcreations	13	2275	5559	2
2026-05-25T16:06:22.474Z	Public_N_M_E	17	2252	3158	232
2026-05-25T16:06:22.474Z	softglitter2d	5	2232	144	0
2026-05-25T16:06:22.474Z	cryotosensei	38	2227	1122	49
